"","sid","danceability","energy","key","loudness","speechiness","acousticness","valence","tempo","lang","Types","Tokens","TTR"
"66","1AvAl5fj5mhoLHVo0to1xr",0.697,0.298,0,-16.929,0.0319,0.0411,0.233,113.571,"nl",64,90,0.711111111111111
"67","5pz1Q9QFHWsUBZiJ73Jx3j",0.579,0.815,10,-7.603,0.0332,0.1,0.556,155.577,"nl",95,188,0.50531914893617
"68","6eVj2ARRKQiy2Gb9Za7jnf",0.701,0.866,9,-4.632,0.0298,0.0535,0.933,119.949,"nl",63,140,0.45
"70","5uswrfRMA6MpRICWXEE1Uq",0.631,0.921,9,-3.248,0.0447,0.138,0.37,108.055,"nl",66,114,0.578947368421053
"71","2ef2rQVgykMmHX47tjecDp",0.542,0.704,1,-7.953,0.0364,0.0215,0.253,119.942,"nl",45,87,0.517241379310345
"72","23lfdALTPtgNbJrzhRnfks",0.469,0.603,10,-8.358,0.0333,0.0893,0.231,131.739,"nl",58,133,0.43609022556391
"73","7lVA96EbslYc2qDZhJEqqg",0.58,0.808,0,-9.637,0.0577,0.0969,0.709,155.919,"nl",74,162,0.45679012345679
"74","4KldfhlfqqSszxE2OxK5vr",0.7,0.444,2,-8.459,0.0333,0.72,0.825,82.107,"nl",87,120,0.725
"75","31VdbMngS4qIXl6USIEYMr",0.739,0.495,9,-11.8,0.0327,0.141,0.29,104.527,"nl",27,63,0.428571428571429
"76","51YihgaPLlhMhsezyCYwza",0.298,0.484,7,-12.248,0.0308,0.311,0.731,198.764,"nl",53,123,0.430894308943089
"77","1ReozWOl1royxENj0YNOWQ",0.542,0.297,1,-11.076,0.0319,0.853,0.435,83.144,"nl",107,203,0.527093596059113
"78","1dddtnPfWXuQkBdTjfvaEt",0.546,0.108,0,-12.505,0.0355,0.95,0.14,124.513,"nl",46,81,0.567901234567901
"79","7xRHm4nXhFBNGL6nXg2Rb6",0.601,0.864,3,-2.297,0.0285,0.00673,0.681,135.067,"nl",67,105,0.638095238095238
"81","71J0MTYjYapZeNia3DY4hJ",0.673,0.837,5,-8.37,0.0489,0.0245,0.608,129.805,"nl",92,166,0.55421686746988
"82","6ILJSVCgV2GyWPGDhHBtHt",0.646,0.803,6,-5.27,0.031,0.282,0.639,133.973,"nl",61,117,0.521367521367521
"83","0W33jemsseVmZwa4Z0K7qV",0.744,1,0,-6.215,0.0465,0.0598,0.587,140.008,"nl",71,104,0.682692307692308
"86","2zcjUcLW0JaMCLEzkSWxke",0.57,0.557,5,-10.873,0.0296,0.555,0.727,104.586,"nl",78,143,0.545454545454545
"87","4WIKKXzNxzEsXBGQV9g7TS",0.692,0.823,10,-7.633,0.0344,0.487,0.916,105.186,"nl",73,108,0.675925925925926
"90","18eagB3ycmqYGAC3boP0BR",0.639,0.87,7,-3.686,0.0514,0.3,0.946,127.936,"nl",70,112,0.625
"107","0Tvc7i6jDoBnd4EkUfASCP",0.52,0.921,3,-5.012,0.0391,1.64e-05,0.4,131.969,"es",29,51,0.568627450980392
"191","5yIXBZKTROZpH37UGShIpi",0.937,0.857,7,-3.929,0.155,0.185,0.926,121.014,"sw",68,181,0.375690607734807
"194","5vWJQjfADFuIeAxqOyllaK",0.57,0.775,11,-6.286,0.0847,0.0381,0.651,180,"en",73,115,0.634782608695652
"197","0NEj7uUWXkaDgKzMwnwSbh",0.662,0.649,10,-6.632,0.323,0.617,0.963,207.47,"es",44,90,0.488888888888889
"198","5T9QJDodZb6cAsdackd93l",0.892,0.493,4,-10.769,0.044,0.291,0.968,135.881,"es",24,41,0.585365853658537
"254","7f7Z5xOBRrXvFE9MJ4bbG8",0.418,0.739,0,-8.889,0.0369,0.248,0.427,140.89,"es",54,104,0.519230769230769
